Claim ID,Adjuster ID,Adjuster Name,Team/Department,Adjuster Experience Level
CLM0123,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0124,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0125,ADJ001,Alice Smith,Auto Claims,Senior
CLM0126,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0127,ADJ001,Alice Smith,Auto Claims,Senior
CLM0128,ADJ001,Alice Smith,Auto Claims,Senior
CLM0129,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0130,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0131,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0132,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0133,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0134,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0135,ADJ001,Alice Smith,Auto Claims,Senior
CLM0136,ADJ002,Bob Johnson,Property Claims,Junior
CLM0137,ADJ001,Alice Smith,Auto Claims,Senior
CLM0138,ADJ002,Bob Johnson,Property Claims,Junior
CLM0139,ADJ001,Alice Smith,Auto Claims,Senior
CLM0140,ADJ002,Bob Johnson,Property Claims,Junior
CLM0141,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0142,ADJ002,Bob Johnson,Property Claims,Junior
CLM0143,ADJ002,Bob Johnson,Property Claims,Junior
CLM0144,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0145,ADJ002,Bob Johnson,Property Claims,Junior
CLM0146,ADJ002,Bob Johnson,Property Claims,Junior
CLM0147,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0148,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0149,ADJ002,Bob Johnson,Property Claims,Junior
CLM0150,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0151,ADJ001,Alice Smith,Auto Claims,Senior
CLM0152,ADJ002,Bob Johnson,Property Claims,Junior
CLM0153,ADJ002,Bob Johnson,Property Claims,Junior
CLM0154,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0155,ADJ002,Bob Johnson,Property Claims,Junior
CLM0156,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0157,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0158,ADJ002,Bob Johnson,Property Claims,Junior
CLM0159,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0160,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0161,ADJ002,Bob Johnson,Property Claims,Junior
CLM0162,ADJ002,Bob Johnson,Property Claims,Junior
CLM0163,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0164,ADJ001,Alice Smith,Auto Claims,Senior
CLM0165,ADJ001,Alice Smith,Auto Claims,Senior
CLM0166,ADJ001,Alice Smith,Auto Claims,Senior
CLM0167,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0168,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0169,ADJ001,Alice Smith,Auto Claims,Senior
CLM0170,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0171,ADJ001,Alice Smith,Auto Claims,Senior
CLM0172,ADJ002,Bob Johnson,Property Claims,Junior
CLM0173,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0174,ADJ002,Bob Johnson,Property Claims,Junior
CLM0175,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0176,ADJ002,Bob Johnson,Property Claims,Junior
CLM0177,ADJ002,Bob Johnson,Property Claims,Junior
CLM0178,ADJ002,Bob Johnson,Property Claims,Junior
CLM0179,ADJ001,Alice Smith,Auto Claims,Senior
CLM0180,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0181,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0182,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0183,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0184,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0185,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0186,ADJ002,Bob Johnson,Property Claims,Junior
CLM0187,ADJ001,Alice Smith,Auto Claims,Senior
CLM0188,ADJ001,Alice Smith,Auto Claims,Senior
CLM0189,ADJ002,Bob Johnson,Property Claims,Junior
CLM0190,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0191,ADJ001,Alice Smith,Auto Claims,Senior
CLM0192,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0193,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0194,ADJ002,Bob Johnson,Property Claims,Junior
CLM0195,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0196,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0197,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0198,ADJ001,Alice Smith,Auto Claims,Senior
CLM0199,ADJ002,Bob Johnson,Property Claims,Junior
CLM0200,ADJ001,Alice Smith,Auto Claims,Senior
CLM0201,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0202,ADJ001,Alice Smith,Auto Claims,Senior
CLM0203,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0204,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0205,ADJ001,Alice Smith,Auto Claims,Senior
CLM0206,ADJ002,Bob Johnson,Property Claims,Junior
CLM0207,ADJ001,Alice Smith,Auto Claims,Senior
CLM0208,ADJ001,Alice Smith,Auto Claims,Senior
CLM0209,ADJ001,Alice Smith,Auto Claims,Senior
CLM0210,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0211,ADJ001,Alice Smith,Auto Claims,Senior
CLM0212,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0213,ADJ001,Alice Smith,Auto Claims,Senior
CLM0214,ADJ002,Bob Johnson,Property Claims,Junior
CLM0215,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0216,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0217,ADJ001,Alice Smith,Auto Claims,Senior
CLM0218,ADJ002,Bob Johnson,Property Claims,Junior
CLM0219,ADJ002,Bob Johnson,Property Claims,Junior
CLM0220,ADJ001,Alice Smith,Auto Claims,Senior
CLM0221,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0222,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0223,ADJ001,Alice Smith,Auto Claims,Senior
CLM0224,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0225,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0226,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0227,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0228,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0229,ADJ001,Alice Smith,Auto Claims,Senior
CLM0230,ADJ002,Bob Johnson,Property Claims,Junior
CLM0231,ADJ002,Bob Johnson,Property Claims,Junior
CLM0232,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0233,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0234,ADJ001,Alice Smith,Auto Claims,Senior
CLM0235,ADJ002,Bob Johnson,Property Claims,Junior
CLM0236,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0237,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0238,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0239,ADJ002,Bob Johnson,Property Claims,Junior
CLM0240,ADJ002,Bob Johnson,Property Claims,Junior
CLM0241,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0242,ADJ001,Alice Smith,Auto Claims,Senior
CLM0243,ADJ002,Bob Johnson,Property Claims,Junior
CLM0244,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0245,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0246,ADJ002,Bob Johnson,Property Claims,Junior
CLM0247,ADJ002,Bob Johnson,Property Claims,Junior
CLM0248,ADJ001,Alice Smith,Auto Claims,Senior
CLM0249,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0250,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0251,ADJ002,Bob Johnson,Property Claims,Junior
CLM0252,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0253,ADJ001,Alice Smith,Auto Claims,Senior
CLM0254,ADJ002,Bob Johnson,Property Claims,Junior
CLM0255,ADJ002,Bob Johnson,Property Claims,Junior
CLM0256,ADJ002,Bob Johnson,Property Claims,Junior
CLM0257,ADJ002,Bob Johnson,Property Claims,Junior
CLM0258,ADJ001,Alice Smith,Auto Claims,Senior
CLM0259,ADJ001,Alice Smith,Auto Claims,Senior
CLM0260,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0261,ADJ001,Alice Smith,Auto Claims,Senior
CLM0262,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0263,ADJ002,Bob Johnson,Property Claims,Junior
CLM0264,ADJ001,Alice Smith,Auto Claims,Senior
CLM0265,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0266,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0267,ADJ002,Bob Johnson,Property Claims,Junior
CLM0268,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0269,ADJ001,Alice Smith,Auto Claims,Senior
CLM0270,ADJ001,Alice Smith,Auto Claims,Senior
CLM0271,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0272,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0273,ADJ002,Bob Johnson,Property Claims,Junior
CLM0274,ADJ001,Alice Smith,Auto Claims,Senior
CLM0275,ADJ002,Bob Johnson,Property Claims,Junior
CLM0276,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0277,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0278,ADJ002,Bob Johnson,Property Claims,Junior
CLM0279,ADJ002,Bob Johnson,Property Claims,Junior
CLM0280,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0281,ADJ002,Bob Johnson,Property Claims,Junior
CLM0282,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0283,ADJ001,Alice Smith,Auto Claims,Senior
CLM0284,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0285,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0286,ADJ002,Bob Johnson,Property Claims,Junior
CLM0287,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0288,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0289,ADJ002,Bob Johnson,Property Claims,Junior
CLM0290,ADJ002,Bob Johnson,Property Claims,Junior
CLM0291,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0292,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0293,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0294,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0295,ADJ002,Bob Johnson,Property Claims,Junior
CLM0296,ADJ002,Bob Johnson,Property Claims,Junior
CLM0297,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0298,ADJ002,Bob Johnson,Property Claims,Junior
CLM0299,ADJ002,Bob Johnson,Property Claims,Junior
CLM0300,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0301,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0302,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0303,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0304,ADJ001,Alice Smith,Auto Claims,Senior
CLM0305,ADJ001,Alice Smith,Auto Claims,Senior
CLM0306,ADJ001,Alice Smith,Auto Claims,Senior
CLM0307,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0308,ADJ001,Alice Smith,Auto Claims,Senior
CLM0309,ADJ002,Bob Johnson,Property Claims,Junior
CLM0310,ADJ001,Alice Smith,Auto Claims,Senior
CLM0311,ADJ002,Bob Johnson,Property Claims,Junior
CLM0312,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0313,ADJ001,Alice Smith,Auto Claims,Senior
CLM0314,ADJ002,Bob Johnson,Property Claims,Junior
CLM0315,ADJ001,Alice Smith,Auto Claims,Senior
CLM0316,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0317,ADJ001,Alice Smith,Auto Claims,Senior
CLM0318,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0319,ADJ001,Alice Smith,Auto Claims,Senior
CLM0320,ADJ002,Bob Johnson,Property Claims,Junior
CLM0321,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0322,ADJ001,Alice Smith,Auto Claims,Senior
CLM0323,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0324,ADJ001,Alice Smith,Auto Claims,Senior
CLM0325,ADJ001,Alice Smith,Auto Claims,Senior
CLM0326,ADJ001,Alice Smith,Auto Claims,Senior
CLM0327,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0328,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0329,ADJ002,Bob Johnson,Property Claims,Junior
CLM0330,ADJ002,Bob Johnson,Property Claims,Junior
CLM0331,ADJ002,Bob Johnson,Property Claims,Junior
CLM0332,ADJ001,Alice Smith,Auto Claims,Senior
CLM0333,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0334,ADJ001,Alice Smith,Auto Claims,Senior
CLM0335,ADJ002,Bob Johnson,Property Claims,Junior
CLM0336,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0337,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0338,ADJ001,Alice Smith,Auto Claims,Senior
CLM0339,ADJ001,Alice Smith,Auto Claims,Senior
CLM0340,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0341,ADJ002,Bob Johnson,Property Claims,Junior
CLM0342,ADJ002,Bob Johnson,Property Claims,Junior
CLM0343,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0344,ADJ002,Bob Johnson,Property Claims,Junior
CLM0345,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0346,ADJ002,Bob Johnson,Property Claims,Junior
CLM0347,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0348,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0349,ADJ001,Alice Smith,Auto Claims,Senior
CLM0350,ADJ001,Alice Smith,Auto Claims,Senior
CLM0351,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0352,ADJ002,Bob Johnson,Property Claims,Junior
CLM0353,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0354,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0355,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0356,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0357,ADJ001,Alice Smith,Auto Claims,Senior
CLM0358,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0359,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0360,ADJ001,Alice Smith,Auto Claims,Senior
CLM0361,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0362,ADJ002,Bob Johnson,Property Claims,Junior
CLM0363,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0364,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0365,ADJ001,Alice Smith,Auto Claims,Senior
CLM0366,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0367,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0368,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0369,ADJ001,Alice Smith,Auto Claims,Senior
CLM0370,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0371,ADJ001,Alice Smith,Auto Claims,Senior
CLM0372,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0373,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0374,ADJ001,Alice Smith,Auto Claims,Senior
CLM0375,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0376,ADJ001,Alice Smith,Auto Claims,Senior
CLM0377,ADJ002,Bob Johnson,Property Claims,Junior
CLM0378,ADJ002,Bob Johnson,Property Claims,Junior
CLM0379,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0380,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0381,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0382,ADJ001,Alice Smith,Auto Claims,Senior
CLM0383,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0384,ADJ001,Alice Smith,Auto Claims,Senior
CLM0385,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0386,ADJ002,Bob Johnson,Property Claims,Junior
CLM0387,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0388,ADJ001,Alice Smith,Auto Claims,Senior
CLM0389,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0390,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0391,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0392,ADJ002,Bob Johnson,Property Claims,Junior
CLM0393,ADJ001,Alice Smith,Auto Claims,Senior
CLM0394,ADJ002,Bob Johnson,Property Claims,Junior
CLM0395,ADJ001,Alice Smith,Auto Claims,Senior
CLM0396,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0397,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0398,ADJ002,Bob Johnson,Property Claims,Junior
CLM0399,ADJ001,Alice Smith,Auto Claims,Senior
CLM0400,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0401,ADJ002,Bob Johnson,Property Claims,Junior
CLM0402,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0403,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0404,ADJ001,Alice Smith,Auto Claims,Senior
CLM0405,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0406,ADJ001,Alice Smith,Auto Claims,Senior
CLM0407,ADJ002,Bob Johnson,Property Claims,Junior
CLM0408,ADJ002,Bob Johnson,Property Claims,Junior
CLM0409,ADJ001,Alice Smith,Auto Claims,Senior
CLM0410,ADJ001,Alice Smith,Auto Claims,Senior
CLM0411,ADJ002,Bob Johnson,Property Claims,Junior
CLM0412,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0413,ADJ002,Bob Johnson,Property Claims,Junior
CLM0414,ADJ002,Bob Johnson,Property Claims,Junior
CLM0415,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0416,ADJ001,Alice Smith,Auto Claims,Senior
CLM0417,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0418,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0419,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0420,ADJ001,Alice Smith,Auto Claims,Senior
CLM0421,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0422,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0423,ADJ002,Bob Johnson,Property Claims,Junior
CLM0424,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0425,ADJ002,Bob Johnson,Property Claims,Junior
CLM0426,ADJ002,Bob Johnson,Property Claims,Junior
CLM0427,ADJ002,Bob Johnson,Property Claims,Junior
CLM0428,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0429,ADJ001,Alice Smith,Auto Claims,Senior
CLM0430,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0431,ADJ001,Alice Smith,Auto Claims,Senior
CLM0432,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0433,ADJ002,Bob Johnson,Property Claims,Junior
CLM0434,ADJ001,Alice Smith,Auto Claims,Senior
CLM0435,ADJ001,Alice Smith,Auto Claims,Senior
CLM0436,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0437,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0438,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0439,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0440,ADJ001,Alice Smith,Auto Claims,Senior
CLM0441,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0442,ADJ002,Bob Johnson,Property Claims,Junior
CLM0443,ADJ003,Charlie Brown,Workers' Comp,Intermediate
